"manipulation_condition","manipulation_condition_word","system_justification_GMC","pre_evidence_guilt_belief","alignment_search","post_evidence_similarity","post_evidence_match","post_evidence_guilt_belief","right_wing_authoritarianism_GMC","social_dominance_orientation_GMC","need_for_cognition_GMC","political_orientation","race","education","age","gender","which_stim","observation1","observation1_code","observation2","observation2_code","observation3","observation3_code","observation4","observation4_code","observation5","observation5_code","observation6","observation6_code","observation7","observation7_code"
0.5,"Confess_Recant",-1.75098814229249,1,4,2,6.5,6.5,-0.635912698412696,-1.23913043478261,-0.210881190420835,-2,"1",3,"20","2",1,"similar ""a""s",0,"similar ""i""s",0,"period spacing",2,"same ""y""ss",0,"spacing between words",2,"messy ""s""",2,"same ""e""s",0
-0.5,"Maintain_Innocence",-2.50098814229249,0,-1,1,-6.5,-6.5,-1.96924603174604,-0.864130434782608,0.436177633108575,-3,"1,4",3,"20","5",2,"The lowercase ""a"" in Mr. Hines' handwriting is much wider and flatter",1,"The lowercase ""e"" in Mr. Hines' handwriting has a tail on the left side",2,"The lowercase ""y"" in the robber's note seems to have been made with two strokes, whereas Mr. Hines' seems to have been made with one",2,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",-2.37598814229249,0,-2,-1,-6.5,-4.5,-1.71924603174604,0.0108695652173916,-0.799116484538475,-1,"4",5,"21","1,2",1,"The way that the L's are written are different. In exhibit A, the l's lean toward the right and in exhibit B, they lean towards the left. ",1,"There is much more spacing in exhibit A.",1,"",NA,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",-0.37598814229249,-1,-1,2,-4.5,-4.5,0.364087301587304,0.0108695652173916,-0.446175308067895,-2,"4",2,"20","1",2,"At first glance they look the same but one note is not enough evidence to make a decision which is why I am still unsure. ",1,"e",2,"i",2,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",0.12401185770751,-1,-3,-3,-7.5,-8.5,0.697420634920634,0.635869565217392,-1.44617530806789,-1,"2",2,"20","1",1,"The guys hand writing was way nicer than the bank robber.",1,"One was nicer than the other",1,"easy to read",2,"was not on line",2,"the G's",2,"the S's",2,"The l is more sideways",1
0.5,"Confess_Recant",0.87401185770751,0,0,1,-6.5,-5.5,-1.1359126984127,-0.739130434782608,-0.269704719832595,-1,"6",3,"21","2",2,"t",2,"e",2,"u",2,"r",2,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",0.24901185770751,0,4,2,5.5,4.5,1.1140873015873,0.885869565217392,-0.328528249244365,-1,"2",2,"19","2",1,"The A's look the same",0,"The I",2,"The way the words are structured ",2,"The Y's look the same ",0,"The T's look the same",0,"All of the writing looks similar",0,"It was him",2
0.5,"Confess_Recant",2.62401185770751,1,0,1,5.5,5.5,1.28075396825396,1.38586956521739,-0.622645896303185,-1,"4",3,"21","2",2,"I think it was wrote by Hines",2,"I",2,"a",2,"g",2,"s",2,"t",2,"L",2
0.5,"Confess_Recant",-0.37598814229249,0,0,1,-0.5,-4.5,2.6140873015873,0.510869565217392,-0.328528249244365,0,"6",2,"21","1",2,"The U and N are written the same however the size differential of the letters could also be the key takeaway that maybe it's not the same. I am no expert in handwriting detection so I would need to be convinced by a witness who testified that it is. ",2,"I am no expert in handwriting detection so I would need to be convinced by a witness who testified that it is. ",2,"",NA,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",-1.37598814229249,-2,-2,2,-2.5,-2.5,0.364087301587304,-0.114130434782608,1.20088351546153,-2,"4",3,"19","2",1,"The ""l""'s are slanted to the right in the first note and left in the second. ",2,"The spacing between the words in the first note is much larger than in the second. ",1,"The ""o""'s are slanted to the right in the first note but slightly to the left in the second. ",2,"The ""h""'s in the first note are more fluid and squiggly than in the second. ",1,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",-2.12598814229249,-1,-6,1,-6.5,-6.5,-0.885912698412696,-1.61413043478261,-0.0932341315973053,-2,"1",3,"20","2",1,"The angle of the written words. A is slanted while B is written more straight.",1,"The ""r""s are vastly different to be by the same person.",2,"A doesn't have many connected letters while B does, showing different writing styles.",1,"Specifically ""keep"" in A and ""agree"" in B are vastly different because A doesn't connect the letters while B does.",1,"A is more loopy in its letters than B, B is more straight lined.",1,"In words like ""shoot"", A is more curved up with its letters than B, which usually point down in words like ""silent"".",1,"The spacing between words is different. A is more spaced out compared to B, indicating A was more carefully written than B was.",1
-0.5,"Maintain_Innocence",0.74901185770751,0,-1,-1,-5.5,-4.5,0.947420634920634,1.51086956521739,-0.328528249244365,1,"4",3,"19","1",1,"the way he wrote his r and g",2,"his way of writing r is different, with one written the same way like a v and the other written with on stroke going up.",2,"g is the difference in closing the loop in the letter, you can tell the first doesn't like doing that since he did it with his q as well. ",1,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",0.12401185770751,-1,-4,-4,-7.5,-6.5,1.03075396825396,0.385869565217392,-0.269704719832595,-1,"2",3,"21","2",2,"G. The one in the bank letter has a harsh slope while in the police letter, both gs are more round.",1,"A. The a at the bottom is different.",1,"U. The way the ""u"" connects to the ""n"" in the robbery letter is completely different than the ""u"" in the second letter.",1,"S",2,"M in the top letter has a line coming through the top while the one at the bottom is simply rounded",2,"L (the ones at the top are straighter than the one at bottom).",1,"",NA
0.5,"Confess_Recant",-2.25098814229249,-1,0,-3,-6.5,-8.5,-2.8859126984127,-1.61413043478261,0.730295280167406,-3,"4",3,"19","2",1,"the closeness of the letters in each word and the way the letters interact with each other and the shape of the letters are pretty different even when there are similarities",2,"gun and agree",2,"I",2,"your",2,"lawyer",2,"talk",2,"my and me",2
0.5,"Confess_Recant",1.62401185770751,1,0,-3,-6.5,-5.5,3.69742063492063,2.51086956521739,0.906765868402696,1,"4",2,"18","1",2,"the T",2,"the t is very dissimilar, so is the general font",2,"",NA,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",-0.75098814229249,-1,0,3,6.5,6.5,-0.885912698412696,-1.36413043478261,1.61264822134387,-2,"6",3,"","2",1,"the a's look very similar",0,"the e's look similar as well, except in the bank note theyre messier",1,"",NA,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",-0.000988142292490224,0,-1,1,-6.5,-5.5,-1.21924603174604,-1.11413043478261,1.37735410369682,-2,"1",3,"20","2",1,"the a's, m's, and l's",2,"the a's are shaped differently and the end is curved and not curved, the l's slant to different sides, and the m's are straight in one note and curved in the other",1,"",NA,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",-0.75098814229249,0,2,0,-2.5,-2.5,-1.8859126984127,-0.739130434782608,0.318530574285055,-2,"4",3,"19","2",2,"t - in the bank note, it is crossed near the top (shoot). In the second note, it is in the middle mostly, and in ""time"" even near the bottom",2,"a - written the same way, started at top, tail juts out",0,"h - same as a, disconnexted. Like a squiggle for example.",0,"I - the crossings on Ex A slant up to the right parallel, and in B as well. BUT in A, the second I has their crossings converging",2,"n - squiggled both times. Just like a and h",2,"r - pointy and v-like in almost all instances, but not in agree",2,"o - connection to other parts show it is written from the top",2
0.5,"Confess_Recant",-1.37598814229249,0,0,4,6.5,5.5,2.44742063492063,0.385869565217392,0.789118809579165,2,"6",3,"20","1",2,"n",2,"a",2,"e",2,"i",2,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",1.62401185770751,1,3,2,5.5,5.5,1.19742063492063,0.635869565217392,0.142059986049755,-1,"4",2,"19","2",1,"the letter e",2,"the letter t",2,"the letter n",2,"e looks similar",0,"t looks similar",0,"n looks similar",0,"he may consciouslly change the way he write when conducting the crime",2
0.5,"Confess_Recant",-1.50098814229249,1,5,1,5.5,5.5,0.0307539682539648,-0.864130434782608,-0.387351778656125,-1,"6",3,"20","2",1,"the letter N in both look identical",0,"the letter H looks similar",0,"the letter I looks similar",0,"the spacing between the letters is kind of similar",0,"the letter A also looks similar",0,"",NA,"",NA
-0.5,"Maintain_Innocence",0.24901185770751,-1,-1,-2,-7.5,-8.5,0.614087301587304,0.885869565217392,-0.504998837479655,1,"4",3,"21","2",2,"a",2,"""a"" looks very different",1,"",NA,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",1.74901185770751,0,-1,-1,-4.5,-4.5,0.780753968253965,1.01086956521739,-0.210881190420835,0,"4",3,"22","1",1,"don't look that similar",1,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",0.87401185770751,0,0,1,2.5,2.5,0.864087301587304,0.385869565217392,-0.328528249244365,0,"4",2,"18","1",2,"the messiness of the handwriting ",2,"Proportions of the letters",2,"1",2,"1",2,"12",2,"2",2,"3",2
-0.5,"Maintain_Innocence",1.74901185770751,0,1,1,-3.5,-3.5,0.864087301587304,-0.364130434782608,-1.32852824924437,1,"4",2,"19","1",2,"both way of writing letter ""e"" are similar ",0,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",1.99901185770751,0,1,2,4.5,-3.5,0.697420634920634,0.635869565217392,-0.622645896303185,0,"4",5,"23","1",1,"I think the word ""n"" is similar.",0,"Words are round, which are similar.",0,"The style of the word is very similar.",0,"It is acceptable that the word can be a little bit different since they were written in different environments.",1,"When ask for the cash, the person is in a hurry",2,"When in the police department, the person have a lot of time",2,"Therefore, the person can take a lot of time to write, which make the two notes a little bit different.",1
-0.5,"Maintain_Innocence",1.99901185770751,0,0,0,4.5,4.5,1.94742063492063,1.13586956521739,-0.681469425714945,0,"4",2,"20","1",1,"contents",2," ",2," ",2," ",2," ",2," ",2," ",2
-0.5,"Maintain_Innocence",1.24901185770751,-1,0,-1,-5.5,-5.5,0.114087301587304,-0.489130434782608,1.31853057428506,0,"4",3,"19","2",2,"g",2,"I",2,"t",2,"a",2,"h",2,"e",2,"n",2
0.5,"Confess_Recant",1.12401185770751,0,0,0,-4.5,4.5,0.864087301587304,1.26086956521739,-0.681469425714945,0,"4",5,"20","1",1,"remain silent ",2,"call a lawyer",2,"agree",2,"quiet",2,"shoot",2,"give me",2,"I understand my rights",2
-0.5,"Maintain_Innocence",0.87401185770751,0,0,1,-5.5,-5.5,0.697420634920634,-0.489130434782608,0.259707044873285,-2,"1",2,"20","2",1,"The t's",2,"the h's ",2,"the s's",2,"the spacing ",2,"the inclination of the letters ",2,"the I's ",2,"the a's ",2
0.5,"Confess_Recant",-1.00098814229249,0,2,2,6.5,6.5,-0.802579365079366,-0.239130434782608,0.847942338990935,0,"1",2,"21","1",2,"The I is very similar ",0,"the style of handwriting is similar ",0,"",NA,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",0.62401185770751,0,-1,-3,-5.5,-1.5,1.03075396825396,1.38586956521739,0.200883515461525,0,"4",3,"18","2",1,"dot of i's",2,"rounded peak of m's",2,"connected e's",2,"shape of a's",2,"messiness vs cleaness",2,"spaced out differently",1,"",NA
0.5,"Confess_Recant",1.74901185770751,0,0,3,3.5,3.5,-0.802579365079366,1.88586956521739,0.436177633108575,0,"1",3,"21","2",2,"I",2,"h",2,"g",2,"u",2,"n",2,"a",2,"s",2
-0.5,"Maintain_Innocence",-1.00098814229249,-1,-1,2,2.5,-3.5,-0.969246031746035,-1.61413043478261,-0.387351778656125,-2,"1",3,"20","1",1,"The I's are similar I think especially the second I in the writing sample to the first I in the bank note.",1,"The ""a""'s are also very similar ",0,"The ""t"" are all crossed in about the middle not really much difference in them",1,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",1.62401185770751,0,0,-2,-4.5,-4.5,1.03075396825396,0.760869565217392,-0.799116484538475,0,"4",2,"20","1",1,"g",2,"u",2,"a",2,"i",2,"m",2,"r",2,"n",2
0.5,"Confess_Recant",-0.37598814229249,1,0,2,5.5,5.5,-0.552579365079366,-1.23913043478261,-0.210881190420835,NA,"6",3,"19","2",2,"a",2,"m",2,"",NA,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",0.37401185770751,0,-3,-1,-3.5,-3.5,0.614087301587304,1.01086956521739,-1.21088119042084,0,"4",3,"21","2",1,"The “s” in the two writing sample are different ",1,"“M”also looks different",1,"“Y” also different",1,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",-2.37598814229249,-1,3,1,-7.5,-5.5,1.94742063492063,-0.114130434782608,0.142059986049755,1,"2",3,"18","2",2,"A; the a's look so similar I almost thought he was guilty. ",0,"I: the i's look similar but the way they're written look and feel like it was written by two different people",2,"H: the h's look very similar like a's ",0,"R: the r's aren't written with the same lengths ",0,"",NA,"",NA,"",NA
0.5,"Confess_Recant",-2.12598814229249,0,-1,-3,-7.5,-5.5,-0.135912698412696,-0.864130434782608,-0.740292955126715,-2,"4",3,"21","2",1,"THE SLANT OF THE WRITING IS OFF FOR HIS I's, they tilt opposite ways",2,"the e's are also written differently in each sample",1,"",NA,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",2.24901185770751,0,-2,-3,-6.5,-6.5,0.780753968253965,-0.864130434782608,-0.152057661009064,0,"4",2,"20","2",1,"the way of writing ""I""",2,"the way of writing ""m""",2,"the way of writing ""h""",2,"the below was written more neatly",1,"the space between words on the above is bigger",1,"the way of writing ""g""",2,"the way of writing ""r""",2
0.5,"Confess_Recant",-1.25098814229249,-1,2,2,7.5,6.5,1.44742063492063,0.635869565217392,0.436177633108575,0,"4",2,"20","2",2,"Letter I. The long length of the upper and lower line on letter I.",2,"It is interesting how Letter I is emphasised in his writing.",2,"Letter e & a is similarly scripted as well. although the second page writing are small, the style, characters are similar in how its written. He elongates ""e"" with a little line in the beginning of making the circle in e interestingly.",0,"His ""s"" in ""shoot"" and ""silent"" is so similar in the way when people write it at the start of left side of a paper. His ""s"" in this case, slightly curves up at the tail of ""s."" ",0,"There are more slightly similar ones too when you closely look at it.",2,"Hence why it makes me believe he would be guilty.",2,"...",2
0.5,"Confess_Recant",0.12401185770751,0,-1,-2,-5.5,-6.5,-1.55257936507937,-0.739130434782608,0.730295280167406,-2,"1,6",2,"18","2",1,"h’s- no tail",2,"a’s- different height",1,"spacing - words much closer together",2,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",0.24901185770751,0,-1,1,-5.5,-4.5,1.03075396825396,-0.114130434782608,-0.328528249244365,0,"6",3,"19","1",2,"The way each letter is written and the difference between each.",1,"I",2,"u",2,"n",2,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",1.74901185770751,-1,0,-2,-7.5,-7.5,-1.55257936507937,0.885869565217392,-0.504998837479655,-2,"6",3,"20","1",2,"I",2,"e",2,"h",2,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",-0.000988142292490224,1,-1,2,5.5,5.5,0.364087301587304,0.0108695652173916,-1.56382236689142,-1,"2",3,"18","1",2,"The letter ""h""",2,"How he draws the letter h in both notes seems similar to me. ",1,"",NA,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",-1.75098814229249,0,-1,-2,-6.5,-5.5,-0.635912698412696,-1.73913043478261,0.730295280167406,-3,"2",5,"21","2",1,"The way he wrote his h's.",2,"I made my decision on how consistent the h's were in the original letter and how they were different than the way they were written in Mr. Hines letter.",1,"",NA,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",1.62401185770751,-2,-2,-3,-5.5,3.5,1.03075396825396,-0.114130434782608,-1.44617530806789,0,"4",5,"23","1",1,"There is a difference in the handwriting of the two",1,"I noticed that the way he wirte 'h' is quiet different",1,"",NA,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",-0.50098814229249,0,0,-2,-5.5,-4.5,-2.8859126984127,-0.989130434782608,1.49500116252034,-3,"2",3,"20","1",1,"agree and rights versus gun and quiet is why i dont believe he wrote that",2,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",1.49901185770751,1,1,2,-4.5,-4.5,1.44742063492063,0.885869565217392,-0.446175308067895,1,"4",2,"21","1",2,"The capital i's are very similar",0,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",1.62401185770751,-1,0,3,6.5,5.5,0.447420634920634,1.38586956521739,-1.74029295512671,0,"4",2,"19","2",2,"I",2,"l",2,"a",2,"t",2,"s",2,"e",2,"g",2
0.5,"Confess_Recant",-1.62598814229249,-1,-3,1,-6.5,-6.5,-0.552579365079366,-0.989130434782608,0.259707044873285,-2,"2",3,"19","2",2,"the way that the r's are written are not the same ",1,"the way that the a's are written are not the same",1,"the way that the e's are written are not the same",1,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",-0.000988142292490224,-2,0,-3,-6.5,-6.5,1.28075396825396,-0.239130434782608,0.789118809579165,1,"1",3,"20","1",1,"The space between the letters ""U"" and ""N"" in ""gun"" on the robbery note and no space between the ""U"" and ""N"" in ""understand"" in Mr.Hines note",2,"The way the ""M""'s are written",2,"",NA,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",0.12401185770751,-1,-1,2,1.5,-2.5,-0.385912698412696,1.51086956521739,0.671471750755635,-2,"4",2,"19","2",2,"the letter a in both samples look very similar",0,"the first sample can look like a rushed version of the second",2,"the letter e is connected to the previous letter in both samples",2,"the letter t is very different in both samples",1,"the first sample is less straight",1,"the capital letters in the first sample are much bigger",1,"the letter s in both samples look very similar",0
-0.5,"Maintain_Innocence",-1.12598814229249,-1,-2,-3,-5.5,-6.5,-1.05257936507937,-1.23913043478261,0.259707044873285,-2,"2",3,"19","2",2,"The letter a is more curved in the second handwritten form.",1,"The I's are also more slanted on the first handwritten note.",1,"",NA,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",0.62401185770751,-1,-1,-1,-5.5,-5.5,0.947420634920634,-0.989130434782608,0.553824691932105,-1,"1",3,"19","1",2,"the letters weren't all written the same, the letter g looks really different",2,"The writing also looks much larger in the exhibit a",1,"",NA,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",-0.75098814229249,1,0,-2,1.5,4.5,-2.3859126984127,-1.48913043478261,1.20088351546153,-3,"6",3,"19","5",1,"I do have some knowledge on forensic writing analysis, so I know that depending on the situation/one's feelings at the time, their handwriting can change. The lack of lines in the second writing sample also adds to the difficulty of analysis. However, I do believe that Mr. Hines wrote both notes, since both writings look somewhat similar, and the top one is characteristic of a high-energy moment, while the second might be a calmer time. It's still pretty hard to tell regardless, which is why I am unconfident.",2,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",1.24901185770751,0,2,0,-2.5,2.5,1.3640873015873,1.51086956521739,-0.0344106021855346,2,"1",5,"22","1",1,"The I looks similar",0,"The s looks similar",0,"",NA,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",-0.000988142292490224,0,-1,-2,-6.5,-3.5,0.530753968253965,1.38586956521739,-0.0344106021855346,0,"4",2,"20","1",1,"isolating certain letters such as ""I"" ""a"" ""e""",2,"These letters and more simply don't match the way they were ",1,"written in the bank note ",2,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",0.87401185770751,0,-1,-2,-2.5,-5.5,-0.552579365079366,-0.489130434782608,-1.09323413159731,0,"4",2,"20","1",2,"the letter I E A and T used ",2,"Since the letter I E A and t are used frequently in English speaking and writing I was specifically checking on these letters and found that the hand writings of these letters are not really similar in both writings",1,"",NA,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",-1.75098814229249,-2,0,-1,-6.5,-6.5,-0.719246031746035,1.63586956521739,0.142059986049755,-1,"1",3,"21","1",2,"How the letters were written",2,"The way that the letters ""r"" ""I"" and ""t"" are written are inconsistent between the two notes.",2,"",NA,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",1.37401185770751,-1,1,3,6.5,6.5,1.53075396825396,0.885869565217392,-0.563822366891425,0,"4",5,"23","2",1,"the letters y, i, a, g",2,"these letters look very similar ",0,"",NA,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",1.24901185770751,1,0,3,5.5,6.5,0.197420634920634,0.510869565217392,-0.857940013950245,0,"4",2,"19","2",1,"just the style of the writing",2,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",-1.37598814229249,-1,0,-1,-5.5,-6.5,-0.802579365079366,-0.989130434782608,0.259707044873285,-1,"1",3,"18","2",2,"t",2,"a",2,"l",2,"s",2,"",NA,"",NA,"",NA
0.5,"Confess_Recant",0.62401185770751,0,-4,-3,-4.5,-6.5,1.19742063492063,1.38586956521739,1.61264822134387,0,"1",3,"24","1",1,"how the ""I"" is dotted ",2,"the space between the letters",2,"the general shape of the letters",2,"the differences in the letter ""a"" ",1,"differences in the letter ""c""",1,"differences in the letter ""g""",1,"differences in the letter ""o""",1
-0.5,"Maintain_Innocence",-1.25098814229249,0,0,1,-2.5,-5.5,-1.3859126984127,-0.989130434782608,0.200883515461525,-1,"1",3,"21","3",2,"The space between the letters is what mainly what influenced my decision and also the lack of capitol letters in the writing sample.  The first note switches to add one capital T midstence. ",2,"I",2,"l",2,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",1.74901185770751,1,1,-3,-7.5,-1.5,0.780753968253965,-0.489130434782608,0.612648221343875,0,"6",3,"19","1",1,"The o's are dissimilar in both samples.",2,"The a's are dissimilar in both samples.",2,"The l's go in dissimilar directions in both samples.",2,"The h's are vastly dissimilar in both samples.",2,"The n's are extremely similar in both samples.",0,"The ""un"" in ""gun"" in the first sample has its letters separated; the ""un"" in ""understand"" in sample 2 is continuous.",2,"The e's are dissimilar in both samples.",2
-0.5,"Maintain_Innocence",0.37401185770751,-1,0,-3,-5.5,-6.5,0.280753968253965,1.01086956521739,-0.681469425714945,0,"1",3,"21","2",2,"r",2,"u",2,"a",2,"n",2,"i",2,"t",2,"l",2
-0.5,"Maintain_Innocence",-1.37598814229249,-1,0,-1,-5.5,-5.5,-1.8859126984127,-1.23913043478261,-1.38735177865613,-2,"2,6",2,"19","2",2,"I",2,"T",2,"A",2,"O",2,"S",2,"U",2,"N",2
0.5,"Confess_Recant",0.49901185770751,2,1,2,6.5,6.5,1.53075396825396,0.135869565217392,0.495001162520345,0,"4",2,"18","1",1,"the s and h are very similar. ",0,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",-1.87598814229249,0,1,-2,-5.5,3.5,-0.969246031746035,-0.489130434782608,0.200883515461525,-1,"4",3,"18","1",1,"I focused on the way the G nad Y's are written since those are pretty similar",0,"Spacing between letters, writing style",2,"Legibility writing style",2,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",-1.62598814229249,0,0,2,5.5,-3.5,-1.05257936507937,-1.11413043478261,1.78911880957916,-2,"1",2,"18","2",2,"Some of the letters are connected with each other",2,"a",2,"e",2,"s",2,"r",2,"n",2,"m",2
-0.5,"Maintain_Innocence",1.62401185770751,0,0,0,-4.5,-4.5,0.947420634920634,0.635869565217392,-0.622645896303185,0,"4",5,"22","1",1,"Handwriting",2,"Grammar structure",2,"Vocabulary",2,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",-1.62598814229249,-1,-6,-4,-7.5,-5.5,-1.05257936507937,-1.23913043478261,-0.0932341315973053,0,"4",3,"20","2",1,"the details of the writing",2,"the difference in the letter h",1,"the difference in the letter g",1,"the difference in the letter m",1,"the difference in the letter u",1,"the difference in the letter y",1,"the difference in the letter i",1
-0.5,"Maintain_Innocence",0.99901185770751,-1,0,1,-4.5,-4.5,1.1140873015873,0.260869565217392,-0.0932341315973053,1,"4",2,"19","1",2,"I",2,"L",2,"s",2,"these characters seem to be similar in both of the letters",0,"y",2,"a",2,"these two characters are slightly different in the two letters.",1
-0.5,"Maintain_Innocence",0.24901185770751,-1,0,-1,-5.5,-3.5,-0.302579365079366,0.0108695652173916,0.0832364566379953,-2,"4",2,"20","2",1,"r is very different",1,"l is A is slanted one way but the 'l's in B are slanted the opposite way",2,"i is dotted with a dot in A and a dash in B",2,"'I', 't', 'y' are very similar though",0,"",NA,"",NA,"",NA
0.5,"Confess_Recant",1.62401185770751,0,0,-1,-5.5,-4.5,-0.135912698412696,-0.489130434782608,0.965589397814465,-1,"1",2,"21","1",2,"The way that the two people wrote the letter n",2,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",-2.75098814229249,0,-4,-1,-6.5,-5.5,-2.46924603174604,-1.73913043478261,1.20088351546153,-3,"2",2,"21","1",1,"The way that the certain letters are written",2,"The A's are not the same on both papers",1,"The E's have some resemblance but that is a standard way of writing them",2,"Even if he was in a circumstance which would change his hand writing in these ways, it would not be this significantly different",1,"The I's are not really matching to a sufficient degree",2,"The M's are different, with it being curvier in the bank teller note, which would not match the energy of a scared man about to do a robbery. It makes less sense for him to write neater and softer in this time than in the station",1,"The Rs are not similar enough",1
-0.5,"Maintain_Innocence",-1.37598814229249,-2,0,-3,-8.5,-7.5,-1.3859126984127,-0.989130434782608,1.31853057428506,-2,"1,6",2,"22","2",2,"i",2,"t",2,"a",2,"g",2,"o",2,"u",2,"r",2
-0.5,"Maintain_Innocence",-2.00098814229249,-1,-4,-2,-6.5,-3.5,-1.71924603174604,-0.489130434782608,2.14205998604976,-2,"6",2,"19","1",2,"The shape of the h, in the robbery note it is more slanted ",1,"The shape of the I, the robbery note is more crooked",1,"the spacing of the letters are different, more sparse in police note",1,"the y in my versus the y in you. They are written differently",1,"",NA,"",NA,"",NA
0.5,"Confess_Recant",1.99901185770751,1,-1,-2,-6.5,-4.5,-1.80257936507937,-0.239130434782608,1.20088351546153,0,"1",3,"19","1",1,"the spaces in the middle  and the curved letters",2,"the spaces in the midlle just don't line up",2,"the curved letters look different",1,"it just doesn't match ",2,"also the dots after every sentence whereas the other one is run on",2,"",NA,"",NA
-0.5,"Maintain_Innocence",0.62401185770751,-1,0,1,-7.5,-6.5,-1.6359126984127,-0.239130434782608,1.73029528016741,-3,"4",2,"19","1",2,"r and t",2,"the r in the first note look like v",2,"the r in the second note look like r",2,"the t in the first note is crossed very high",2,"the t in the second note is crossed low",2,"",NA,"",NA
0.5,"Confess_Recant",-0.12598814229249,0,-1,1,3.5,-2.5,-0.219246031746035,-0.364130434782608,0.318530574285055,-1,"4",5,"19","1",1,"Just overall ",2,"Seems like he was trying to hard to write differently but the two still somewhat resemble each other, for example the slanted T. This is probably his writing style when writing casually (slanted words), but tried to disguise and write properly in a formal way.",1,"",NA,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",-0.12598814229249,-1,-2,2,-5.5,-6.5,0.197420634920634,0.385869565217392,-0.857940013950245,-1,"6",3,"20","2",1,"Spacing of the perp was larger than Mr.Hines.",1,"Perps 'a' was rounder then Mr.Hines.",1,"Perps handwriting is more slanted to the right, Mr. Hines leaned slightly left.",1,"Mr. Hines sample was overall neater.",2,"Honestly, they do look quiet similar",0,"Still, there are enough little differences that allows me to believe they were not written by the same man",2,"Also, it would be a lie to say the other evidence didn't pursue my decision. I believe with the political climate between police officers and the African American community, Mr. Hines being nervous was not out of question. Plus, no evidence was found on hand, and he cooperated with the investigation.",2
0.5,"Confess_Recant",-1.12598814229249,1,0,-3,-6.5,2.5,-1.30257936507937,-1.73913043478261,0.142059986049755,-2,"2",2,"18","2",2,"g",2,"a",2,"r",2,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",-0.37598814229249,1,2,1,-2.5,-2.5,-0.135912698412696,1.26086956521739,1.43617763310858,-1,"4",5,"24","1",1,"similarity: upper right corner of capital I",0,"similarity: letter t",0,"dissimilarity: letter m, one is round and the other acute",2,"bottom have the tendency to alter the inclination of skewness, which looks like an intensional disguise",2,"",NA,"",NA,"",NA
